"view","feature","method","dataset_name"
"genomics","ENSG00000153048.6","cplr","rosmap"
"genomics","ENSG00000242349.1","cplr","rosmap"
"genomics","ENSG00000064961.14","cplr","rosmap"
"genomics","ENSG00000183569.13","cplr","rosmap"
"genomics","ENSG00000198830.6","cplr","rosmap"
"genomics","ENSG00000253210.1","cplr","rosmap"
"genomics","ENSG00000143157.7","cplr","rosmap"
"genomics","ENSG00000140931.15","cplr","rosmap"
"genomics","ENSG00000155980.6","cplr","rosmap"
"genomics","ENSG00000072864.8","cplr","rosmap"
"genomics","ENSG00000037897.12","cplr","rosmap"
"genomics","ENSG00000125878.4","cplr","rosmap"
"genomics","ENSG00000125534.4","cplr","rosmap"
"genomics","ENSG00000051128.13","cplr","rosmap"
"genomics","ENSG00000120729.5","cplr","rosmap"
"genomics","ENSG00000152689.13","cplr","rosmap"
"genomics","ENSG00000188549.8","cplr","rosmap"
"genomics","ENSG00000100600.10","cplr","rosmap"
"genomics","ENSG00000244239.1","cplr","rosmap"
"genomics","ENSG00000178752.11","cplr","rosmap"
"genomics","ENSG00000147488.7","cplr","rosmap"
"genomics","ENSG00000197256.6","cplr","rosmap"
"genomics","ENSG00000157833.7","cplr","rosmap"
"genomics","ENSG00000165912.11","cplr","rosmap"
"genomics","ENSG00000233487.6","cplr","rosmap"
"genomics","ENSG00000177469.12","cplr","rosmap"
"genomics","ENSG00000088881.14","cplr","rosmap"
"genomics","ENSG00000198883.7","cplr","rosmap"
"genomics","ENSG00000108784.5","cplr","rosmap"
"genomics","ENSG00000248714.2","cplr","rosmap"
"genomics","ENSG00000166387.7","cplr","rosmap"
"genomics","ENSG00000249436.1","cplr","rosmap"
"genomics","ENSG00000111961.12","cplr","rosmap"
"genomics","ENSG00000034063.8","cplr","rosmap"
"genomics","ENSG00000267488.1","cplr","rosmap"
"genomics","ENSG00000099194.4","cplr","rosmap"
"genomics","ENSG00000188269.3","cplr","rosmap"
"genomics","ENSG00000111181.8","cplr","rosmap"
"genomics","ENSG00000235823.1","cplr","rosmap"
"genomics","ENSG00000105655.11","cplr","rosmap"
"genomics","ENSG00000235423.3","cplr","rosmap"
"genomics","ENSG00000186188.5","cplr","rosmap"
"genomics","ENSG00000042062.7","cplr","rosmap"
"genomics","ENSG00000105419.11","cplr","rosmap"
"genomics","ENSG00000128271.12","cplr","rosmap"
"genomics","ENSG00000143772.5","cplr","rosmap"
"genomics","ENSG00000118515.7","cplr","rosmap"
"genomics","ENSG00000248455.1","cplr","rosmap"
"genomics","ENSG00000158865.8","cplr","rosmap"
"genomics","ENSG00000188783.5","cplr","rosmap"
"genomics","ENSG00000177025.2","cplr","rosmap"
"genomics","ENSG00000164850.10","cplr","rosmap"
"genomics","ENSG00000166682.6","cplr","rosmap"
"genomics","ENSG00000105227.9","cplr","rosmap"
"genomics","ENSG00000260001.1","cplr","rosmap"
"genomics","ENSG00000230387.1","cplr","rosmap"
"genomics","ENSG00000256235.1","cplr","rosmap"
"genomics","ENSG00000021300.7","cplr","rosmap"
"genomics","ENSG00000187984.7","cplr","rosmap"
"genomics","ENSG00000090554.6","cplr","rosmap"
"genomics","ENSG00000129250.7","cplr","rosmap"
"genomics","ENSG00000254211.1","cplr","rosmap"
"genomics","ENSG00000111087.5","cplr","rosmap"
"genomics","ENSG00000204366.3","cplr","rosmap"
"genomics","ENSG00000124126.9","cplr","rosmap"
"genomics","ENSG00000112851.10","cplr","rosmap"
"genomics","ENSG00000134802.12","cplr","rosmap"
"genomics","ENSG00000143409.11","cplr","rosmap"
"genomics","ENSG00000165406.9","cplr","rosmap"
"genomics","ENSG00000172935.8","cplr","rosmap"
"genomics","ENSG00000166394.10","cplr","rosmap"
"genomics","ENSG00000138207.7","cplr","rosmap"
"genomics","ENSG00000251372.1","cplr","rosmap"
"genomics","ENSG00000228058.1","cplr","rosmap"
"genomics","ENSG00000165959.5","cplr","rosmap"
"genomics","ENSG00000154493.12","cplr","rosmap"
"genomics","ENSG00000147459.12","cplr","rosmap"
"genomics","ENSG00000240907.1","cplr","rosmap"
"genomics","ENSG00000178796.8","cplr","rosmap"
"genomics","ENSG00000053702.10","cplr","rosmap"
"genomics","ENSG00000177807.5","cplr","rosmap"
"genomics","ENSG00000057704.6","cplr","rosmap"
"genomics","ENSG00000261195.1","cplr","rosmap"
"genomics","ENSG00000197704.7","cplr","rosmap"
"genomics","ENSG00000140479.12","cplr","rosmap"
"genomics","ENSG00000233404.2","cplr","rosmap"
"genomics","ENSG00000171388.9","cplr","rosmap"
"genomics","ENSG00000159176.9","cplr","rosmap"
"genomics","ENSG00000168209.3","cplr","rosmap"
"genomics","ENSG00000260788.1","cplr","rosmap"
"genomics","ENSG00000166535.15","cplr","rosmap"
"genomics","ENSG00000132688.10","cplr","rosmap"
"genomics","ENSG00000139352.3","cplr","rosmap"
"genomics","ENSG00000136451.4","cplr","rosmap"
"genomics","ENSG00000125733.11","cplr","rosmap"
"genomics","ENSG00000185499.11","cplr","rosmap"
"transcriptomics","hsa-miR-99a","cplr","rosmap"
"transcriptomics","hsa-miR-29a","cplr","rosmap"
"transcriptomics","hsa-let-7i","cplr","rosmap"
"transcriptomics","hsa-let-7g","cplr","rosmap"
"transcriptomics","hsa-miR-125a-5p","cplr","rosmap"
"transcriptomics","hsa-miR-129-5p","cplr","rosmap"
"transcriptomics","hsa-miR-100","cplr","rosmap"
"transcriptomics","hsa-miR-221","cplr","rosmap"
"transcriptomics","hsa-miR-126","cplr","rosmap"
"transcriptomics","hsa-miR-107","cplr","rosmap"
"transcriptomics","hsa-miR-19b","cplr","rosmap"
"transcriptomics","hsa-miR-92a","cplr","rosmap"
"transcriptomics","hsa-miR-885-5p","cplr","rosmap"
"transcriptomics","hsa-miR-9","cplr","rosmap"
"transcriptomics","hsa-miR-335","cplr","rosmap"
"transcriptomics","hsa-miR-377","cplr","rosmap"
"transcriptomics","hsa-miR-146a","cplr","rosmap"
"transcriptomics","hsa-miR-95","cplr","rosmap"
"transcriptomics","hsa-miR-98","cplr","rosmap"
"transcriptomics","hsa-miR-379","cplr","rosmap"
"transcriptomics","hsa-miR-539","cplr","rosmap"
"transcriptomics","hsa-miR-195","cplr","rosmap"
"transcriptomics","hsa-miR-361-5p","cplr","rosmap"
"transcriptomics","hsa-let-7e","cplr","rosmap"
"transcriptomics","hsa-miR-128","cplr","rosmap"
"transcriptomics","hsa-miR-145","cplr","rosmap"
"transcriptomics","hsa-miR-132","cplr","rosmap"
"transcriptomics","hsa-miR-192","cplr","rosmap"
"transcriptomics","hsa-miR-376c","cplr","rosmap"
"transcriptomics","hsa-miR-340","cplr","rosmap"
"transcriptomics","hsa-miR-142-3p","cplr","rosmap"
"transcriptomics","hsa-miR-603","cplr","rosmap"
"transcriptomics","hsa-miR-374b","cplr","rosmap"
"transcriptomics","hsa-miR-129-3p","cplr","rosmap"
"transcriptomics","hsa-miR-598","cplr","rosmap"
"transcriptomics","hsa-miR-34a","cplr","rosmap"
"transcriptomics","hsa-miR-99b","cplr","rosmap"
"transcriptomics","hsa-miR-324-5p","cplr","rosmap"
"transcriptomics","hsa-miR-149","cplr","rosmap"
"transcriptomics","hsa-miR-190b","cplr","rosmap"
"transcriptomics","hsa-miR-423-3p","cplr","rosmap"
"transcriptomics","hsa-miR-301a","cplr","rosmap"
"transcriptomics","hsa-miR-181b_hsa-miR-181d","cplr","rosmap"
"transcriptomics","hsa-miR-203","cplr","rosmap"
"transcriptomics","hsa-miR-660","cplr","rosmap"
"transcriptomics","hsa-miR-504","cplr","rosmap"
"transcriptomics","hsa-miR-138","cplr","rosmap"
"transcriptomics","hsa-miR-197","cplr","rosmap"
"transcriptomics","hsa-miR-142-5p","cplr","rosmap"
"transcriptomics","hsa-miR-127-3p","cplr","rosmap"
"transcriptomics","hsa-miR-548a-3p","cplr","rosmap"
"transcriptomics","hsa-miR-1283","cplr","rosmap"
"transcriptomics","hsa-miR-656","cplr","rosmap"
"transcriptomics","hsa-miR-432","cplr","rosmap"
"transcriptomics","hsa-miR-664","cplr","rosmap"
"transcriptomics","hsa-miR-574-3p","cplr","rosmap"
"transcriptomics","hsa-miR-29b","cplr","rosmap"
"transcriptomics","hsa-miR-31","cplr","rosmap"
"transcriptomics","hsa-miR-152","cplr","rosmap"
"transcriptomics","hsa-miR-122","cplr","rosmap"
"transcriptomics","hsa-miR-133a","cplr","rosmap"
"transcriptomics","hsa-miR-495","cplr","rosmap"
"transcriptomics","kshv-miR-K12-9","cplr","rosmap"
"transcriptomics","hsa-miR-362-3p","cplr","rosmap"
"transcriptomics","hsa-miR-25","cplr","rosmap"
"transcriptomics","hsa-miR-93","cplr","rosmap"
"transcriptomics","hsa-miR-378","cplr","rosmap"
"transcriptomics","hsa-miR-548a-5p","cplr","rosmap"
"transcriptomics","hsa-miR-455-3p","cplr","rosmap"
"transcriptomics","hsa-let-7b","cplr","rosmap"
"transcriptomics","hsa-miR-146b-5p","cplr","rosmap"
"transcriptomics","hsa-miR-769-3p","cplr","rosmap"
"transcriptomics","hsa-miR-1206","cplr","rosmap"
"transcriptomics","hsa-miR-369-3p","cplr","rosmap"
"transcriptomics","hsa-miR-370","cplr","rosmap"
"transcriptomics","hsa-miR-1180","cplr","rosmap"
"transcriptomics","hsa-miR-640","cplr","rosmap"
"transcriptomics","hsa-miR-34b","cplr","rosmap"
"transcriptomics","hsa-miR-187","cplr","rosmap"
"transcriptomics","hsa-miR-1308","cplr","rosmap"
"transcriptomics","hsa-miR-30e","cplr","rosmap"
"transcriptomics","hsa-miR-563","cplr","rosmap"
"transcriptomics","hsa-miR-34c-5p","cplr","rosmap"
"transcriptomics","hsa-miR-1275","cplr","rosmap"
"transcriptomics","hsa-miR-448","cplr","rosmap"
"transcriptomics","hsa-miR-590-5p","cplr","rosmap"
"transcriptomics","hsa-miR-375","cplr","rosmap"
"transcriptomics","hsv1-miR-H3","cplr","rosmap"
"transcriptomics","hcmv-miR-UL70-3p","cplr","rosmap"
"transcriptomics","hsa-miR-16","cplr","rosmap"
"transcriptomics","hsa-miR-130b","cplr","rosmap"
"transcriptomics","hsa-miR-106a_hsa-miR-17","cplr","rosmap"
"transcriptomics","hsa-miR-485-5p","cplr","rosmap"
"transcriptomics","hsa-miR-1","cplr","rosmap"
"transcriptomics","kshv-miR-K12-2","cplr","rosmap"
"transcriptomics","hsa-miR-520e","cplr","rosmap"
"transcriptomics","hsa-miR-33a","cplr","rosmap"
"transcriptomics","hsa-miR-27a","cplr","rosmap"
"transcriptomics","hsa-miR-548b-3p","cplr","rosmap"
"transcriptomics","hsa-miR-769-5p","cplr","rosmap"
"transcriptomics","hsa-miR-767-5p","cplr","rosmap"
"transcriptomics","hsa-miR-362-5p","cplr","rosmap"
"transcriptomics","hsa-miR-185","cplr","rosmap"
"transcriptomics","hsv1-miR-H1","cplr","rosmap"
"transcriptomics","hsa-miR-135b","cplr","rosmap"
"transcriptomics","hsa-miR-376a","cplr","rosmap"
"transcriptomics","hsa-miR-431","cplr","rosmap"
"transcriptomics","hsa-miR-452","cplr","rosmap"
"transcriptomics","mcv-miR-M1-5p","cplr","rosmap"
"transcriptomics","hsa-miR-374a","cplr","rosmap"
"transcriptomics","hsa-miR-1266","cplr","rosmap"
"transcriptomics","hsa-miR-1246","cplr","rosmap"
"transcriptomics","kshv-miR-K12-4-5p","cplr","rosmap"
"transcriptomics","hsa-miR-10b","cplr","rosmap"
"transcriptomics","hsa-miR-208a","cplr","rosmap"
"transcriptomics","hsa-miR-891b","cplr","rosmap"
"transcriptomics","ebv-miR-BART8","cplr","rosmap"
"transcriptomics","hsa-miR-744","cplr","rosmap"
"transcriptomics","hsa-miR-491-5p","cplr","rosmap"
"transcriptomics","hsa-miR-330-3p","cplr","rosmap"
"transcriptomics","hsa-miR-224","cplr","rosmap"
"transcriptomics","hsa-miR-525-5p","cplr","rosmap"
"transcriptomics","hsa-miR-2114","cplr","rosmap"
"transcriptomics","hsa-miR-346","cplr","rosmap"
"transcriptomics","hsa-miR-194","cplr","rosmap"
"transcriptomics","hsa-miR-155","cplr","rosmap"
"transcriptomics","hsa-miR-934","cplr","rosmap"
"transcriptomics","hsa-miR-595","cplr","rosmap"
"transcriptomics","hsa-miR-199a-5p","cplr","rosmap"
"transcriptomics","hsa-miR-450b-5p","cplr","rosmap"
"transcriptomics","hsa-miR-206","cplr","rosmap"
"transcriptomics","hsa-miR-639","cplr","rosmap"
"transcriptomics","hsa-miR-1248","cplr","rosmap"
"transcriptomics","hsa-miR-196a","cplr","rosmap"
"transcriptomics","hsa-miR-516a-3p","cplr","rosmap"
"transcriptomics","hsa-miR-320a","cplr","rosmap"
"transcriptomics","hsa-miR-517c_hsa-miR-519a","cplr","rosmap"
"transcriptomics","hsa-miR-522","cplr","rosmap"
"transcriptomics","hsa-miR-518e","cplr","rosmap"
"transcriptomics","hsa-miR-651","cplr","rosmap"
"transcriptomics","hsa-miR-544","cplr","rosmap"
"transcriptomics","hsa-miR-451","cplr","rosmap"
"transcriptomics","hsa-miR-500_hsa-miR-501-5p","cplr","rosmap"
"transcriptomics","hsa-miR-424","cplr","rosmap"
"transcriptomics","hsa-miR-216a","cplr","rosmap"
"transcriptomics","hsa-miR-143","cplr","rosmap"
"transcriptomics","hsa-miR-577","cplr","rosmap"
"transcriptomics","ebv-miR-BART9","cplr","rosmap"
"transcriptomics","hsa-miR-153","cplr","rosmap"
"transcriptomics","hsa-miR-509-3p","cplr","rosmap"
"transcriptomics","hsa-miR-1299","cplr","rosmap"
"transcriptomics","hsa-miR-770-5p","cplr","rosmap"
"transcriptomics","hsa-miR-219-2-3p","cplr","rosmap"
"transcriptomics","hsa-miR-873","cplr","rosmap"
"transcriptomics","hsa-miR-140-3p","cplr","rosmap"
